"测试/故障","func.10_492a0282","func.1_c5eb0df9","func.2_346ea348","func.3_274e3a77","func.4_80231526","func.5_30a4be30","func.6_be59813b","func.7_4a104339","func.8_f42ec119","func.9_8a9008b0","comp.HM722_d27445f4","comp.HM722_93c850cb","comp.DV711_e4a0691c","comp.DV711_9600e169","comp.DV711_a01540c6","comp.DV711_a0140c59","comp.DV711_a013595f","comp.FV723_7106e986","comp.FV723_e11e94d2","comp.RV721_A_2cd8a4d9","comp.RV721_P_A_9fcdcfe6","comp.RV721_P_R_83729c33","comp.P01_eaf8b050","comp.P01_eaf61c4e","comp.P02_ecad88ef","comp.P02_ecaaf4ed","comp.VB2_X_366a4c61","comp.VB2_Y_9e4b7940","comp.VB2_PA_f8f855d8","comp.VB2_PB_60d982b7"
"sig.RV721_R_p_19224dd8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.VB2_RVA_p_3f2cf457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.VB2_PB_p_e1003d5c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.VB2_DVA_p_3e67ab49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.P02_1_f_dcb1604d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.VB2_PB_f_e1003d52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.P01_1_f_dca348cc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.DV711_spoolPos_3ed299ce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.RV721_P_p_19224656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.VB2_X_EQp_3f6f65c6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.RV721_M_pos_597fd037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.VB2_DVT_p_3e67f29c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sig.HM722_B_f_a7993f5e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
